iter	RMSE
281	0.4995258837
282	0.4986355851
283	0.4974928125
284	0.4966025279
285	0.4964175424
286	0.4949841527
287	0.4945785815
288	0.4939885988
289	0.4935656531
290	0.4931697097
291	0.4922885949
292	0.4914858469
293	0.4901973202
294	0.4888665181
295	0.4880657845
296	0.4870831276
297	0.4862072651
298	0.4851880399
299	0.4846003292
300	0.483567935
301	0.4821955019
302	0.4816483003
303	0.4811278037
304	0.4804706712
305	0.4795084725
306	0.4786383666
307	0.4783325557
308	0.4771980322
309	0.4755836654
310	0.4747708708
311	0.4731230192
312	0.4719514281
313	0.4715805288
314	0.4705164769
315	0.4697286218
316	0.4688103587
317	0.468049403
318	0.4662564286
319	0.4650343911
320	0.464044752
321	0.4637411186
322	0.462162885
323	0.4617304249
324	0.4609480897
325	0.4602073422
326	0.4594573323
327	0.4591343681
328	0.457443426
329	0.4563701509
330	0.4556498884
331	0.4553137844
332	0.454696955
333	0.4542186387
334	0.4541103503
335	0.4531353601
336	0.4522112551
337	0.4515607835
338	0.4501052818
339	0.4496963933
340	0.4490313883
341	0.4483028725
342	0.4471835125
343	0.4462362182
344	0.4454740841
345	0.4448040865
346	0.444316967
347	0.44417981
348	0.4436297815
349	0.4431361258
350	0.4427224256
351	0.4421814637
352	0.4418581594
353	0.441565952
354	0.4406628245
355	0.4396211414
356	0.4394766725
357	0.4390988112
358	0.4384150986
359	0.4373068746
360	0.4370551244
361	0.436585801
362	0.4355559824
363	0.4352472976
364	0.4342770629
365	0.4339214249
366	0.4329008573
367	0.4324723281
368	0.4321105944
369	0.4315828927
370	0.4313450806
371	0.4310060965
372	0.4307363483
373	0.4300651806
374	0.4293707012
375	0.428370084
376	0.4280957271
377	0.4276850129
378	0.4270735588
379	0.4262577695
380	0.4258120574
381	0.4251078436
382	0.4243612199
383	0.423541229
384	0.4231480217
385	0.422180145
386	0.42178783
387	0.4215851686
388	0.4215224212
389	0.4211843953
390	0.4208451342
391	0.4204372136
392	0.419230854
393	0.4180520778
394	0.4177956983
395	0.4171496903
396	0.4160418903
397	0.4157119941
398	0.4147614277
399	0.4145544929
400	0.414290518
401	0.4135901794
402	0.412884299
403	0.4127449514
404	0.4124729206
405	0.4122378092
406	0.4118682263
407	0.4109410367
408	0.4106805511
409	0.4098677783
410	0.4095865039
411	0.4092522925
412	0.4081325596
413	0.4072431396
414	0.4065552474
415	0.4055049921
416	0.4050989642
417	0.4046200843
418	0.4044897991
419	0.4035926235
420	0.4028358965
421	0.4018247549
422	0.4015057638
423	0.4011500559
424	0.4002731829
425	0.4001680455
426	0.3993595667
427	0.3979670344
428	0.3971676184
429	0.3961215193
430	0.395477392
431	0.3945482611
432	0.3938627429
433	0.3937658041
434	0.3933583949
435	0.3929801159
436	0.3928643183
437	0.391573911
438	0.3912702082
439	0.3907902754
440	0.3900332298
441	0.3899284519
442	0.3893234161
443	0.3888155795
444	0.3885814605
445	0.3879293202
446	0.3871008211
447	0.3864803137
448	0.3855282395
449	0.3851724519
450	0.3850001027
451	0.3846456573
452	0.3839982705
453	0.3833878261
454	0.3832459123
455	0.3825944023
456	0.3824178533
457	0.3822811288
458	0.3817075794
459	0.3815184605
460	0.3810494604
461	0.3798996687
462	0.3798096201
463	0.3793233785
464	0.3785425953
465	0.378396982
466	0.3776743269
467	0.3775907549
468	0.3766750515
469	0.3765279314
470	0.3760257288
471	0.3754788656
472	0.3752045803
473	0.3749708694
474	0.374696281
475	0.3744599393
476	0.3739899353
477	0.3737363077
478	0.3728317752
479	0.3720389288
480	0.3719205204
481	0.3712366447
482	0.370902946
483	0.3705900135
484	0.3697857004
485	0.3697140785
486	0.3687917655
487	0.3683952421
488	0.3680303966
489	0.3676131889
490	0.3674301298
491	0.3670076466
492	0.3668603286
493	0.3663360843
494	0.3661168923
495	0.3654828162
496	0.3651673079
497	0.3643975595
498	0.3637572578
499	0.3637209964
500	0.3632471651
501	0.362580321
502	0.361876743
503	0.361811539
504	0.3613813453
505	0.3610849784
506	0.3607628125
507	0.3600672326
508	0.3591233779
509	0.358577601
510	0.3584453957
511	0.3584065794
512	0.3582584985
513	0.3577386838
514	0.3574674032
515	0.3567035887
516	0.3560602151
517	0.3551925558
518	0.3546941993
519	0.3544188015
520	0.3535248185
521	0.352934745
522	0.3528630228
523	0.3526970106
524	0.3521868213
525	0.3521512807
526	0.3516687903
527	0.3516371166
528	0.351150127
529	0.3507031315
530	0.3501322957
531	0.3494100956
532	0.3489017573
533	0.3484229977
534	0.3483314451
535	0.3482280242
536	0.3477269641
537	0.3465706964
538	0.345854508
539	0.3453358639
540	0.3447385601
541	0.3444614812
542	0.3433754678
543	0.3426437997
544	0.3422467022
545	0.3416596052
546	0.3412255208
547	0.3405801104
548	0.3401194984
549	0.3396160456
550	0.3395430082
551	0.338798019
552	0.3383969766
553	0.337759251
554	0.3370768376
555	0.3369643663
556	0.336948439
557	0.3363554889
558	0.3354643695
559	0.3352022092
560	0.3345026078
561	0.3337658081
562	0.333290396
563	0.3332624056
564	0.333135872
565	0.3328858927
566	0.3323053806
567	0.3322939475
568	0.3312825725
569	0.3312562827
570	0.3310197812
571	0.3302157336
572	0.3295591068
573	0.3292433682
574	0.3288750881
575	0.3287025938
576	0.3284656208
577	0.3277060359
578	0.3273779907
579	0.3268603249
580	0.3265522896
581	0.3258917926
582	0.3258805453
583	0.3251425904
584	0.3250867796
585	0.3240331687
586	0.3239777433
587	0.3239290739
588	0.3235286636
589	0.322852264
590	0.3226201991
591	0.3224919006
592	0.3217708659
593	0.3211373904
594	0.3208552279
595	0.3204988674
596	0.3203080668
597	0.320204351
598	0.3195959917
599	0.3195047472
600	0.3190759585
601	0.3186564837
602	0.3185564872
603	0.3180739425
604	0.3174728319
605	0.3168544578
606	0.3164916419
607	0.3163302226
608	0.315874725
609	0.3157128928
610	0.3153619912
611	0.3151587973
612	0.314538397
613	0.314093555
614	0.3140834828
615	0.3135539341
616	0.3133570386
617	0.3128742148
618	0.3120679078
619	0.3111860639
620	0.3108698658
621	0.3107200691
622	0.3103622085
623	0.3095098564
624	0.3093307406
625	0.3090589902
626	0.3090428991
627	0.3088138864
628	0.308726897
629	0.3086553688
630	0.308174589
631	0.3078308377
632	0.3076075085
633	0.3071435349
634	0.3064043004
635	0.3059525403
636	0.3052726615
637	0.304574239
638	0.3044894826
639	0.3037950145
640	0.3036826683
641	0.3030490299
642	0.3029910608
643	0.3025608031
644	0.3019177492
645	0.3017655037
646	0.3015048477
647	0.3011659723
648	0.3002862358
649	0.3002757819
650	0.300144164
651	0.2999070345
652	0.2999021961
653	0.2993449502
654	0.2992156161
655	0.2991328613
656	0.2987211995
657	0.2983285743
658	0.2980481129
659	0.2978823034
660	0.2973777919
661	0.2973603724
662	0.2969489494
663	0.2964281441
664	0.2960708767
665	0.2955263642
666	0.2950657455
667	0.2945601934
668	0.294208747
669	0.2937293749
670	0.2935014111
671	0.2930795929
672	0.2930657512
673	0.2926508327
674	0.2923212695
675	0.2917837371
676	0.2912773858
677	0.2910997002
678	0.2905449605
679	0.289968055
680	0.2897129095
681	0.2894195664
682	0.2888903805
683	0.2887275522
684	0.2886707315
685	0.288330502
686	0.2878414118
687	0.2877151379
688	0.2873704953
689	0.2865961794
690	0.2857032536
691	0.284818947
692	0.2842333245
693	0.283907807
694	0.2834034569
695	0.2829798732
696	0.2825838315
697	0.2821250947
698	0.2817488583
699	0.2812025768
700	0.2809338514
701	0.2805143673
702	0.2802362278
703	0.279631658
704	0.279124186
705	0.2785520151
706	0.2778460216
707	0.2773870127
708	0.2773377093
709	0.2767407858
710	0.2761477682
711	0.275593886
712	0.2751433557
713	0.2748252859
714	0.274401762
715	0.2743338194
716	0.2738720741
717	0.2731451606
718	0.2729689035
719	0.2720939422
720	0.2712974206
721	0.2708201736
722	0.2705859781
723	0.2704318104
724	0.2701757666
725	0.2699325843
726	0.2692725765
727	0.2687515446
728	0.2682643883
729	0.2678815704
730	0.2672803696
731	0.2667771365
732	0.2663495513
733	0.2660196903
734	0.2657218791
735	0.2656077308
736	0.2654042618
737	0.2647879348
738	0.2645222575
739	0.2643888118
740	0.2642455447
741	0.2638958614
742	0.2636293758
743	0.2631447167
744	0.2624423365
745	0.2622407423
746	0.2620506649
747	0.2616104829
748	0.2614271025
749	0.2610470196
750	0.2604870294
751	0.2597101764
752	0.259101933
753	0.2585440289
754	0.2582615686
755	0.2581837694
756	0.258016492
757	0.2576167512
758	0.257284104
759	0.2570981426
760	0.2566892909
761	0.25605113
762	0.2557311661
763	0.2554801556
764	0.2550929448
765	0.2548298958
766	0.2542663779
767	0.2536588187
768	0.2530774481
769	0.2528819608
770	0.2527006469
771	0.2523667053
772	0.2521070566
773	0.2515687306
774	0.2511273822
775	0.2509799098
776	0.2507276368
777	0.2503174426
778	0.249673092
779	0.2490270787
780	0.248750138
781	0.2481912075
782	0.2480625106
783	0.2475128355
784	0.247101573
785	0.2469670415
786	0.2467066396
787	0.2463594724
788	0.2461470459
789	0.2459942465
790	0.2459545613
791	0.2457425934
792	0.2454858861
793	0.2448534436
794	0.2446200187
795	0.2443911768
796	0.2442389192
797	0.2440583391
798	0.2437400958
799	0.2431532621
800	0.2428633962
801	0.2423517296
802	0.2420248046
803	0.2414184959
804	0.2412506484
805	0.2408818089
806	0.2406601718
807	0.2403253619
808	0.2397233122
809	0.2394583834
810	0.2391962157
811	0.2387887022
812	0.2384485717
813	0.2379716108
814	0.2377422692
815	0.2375912693
816	0.2371125201
817	0.2368352613
818	0.2366635513
819	0.236302303
820	0.2358404739
821	0.2355459227
822	0.2353880605
823	0.2350193473
824	0.2347464229
825	0.2344830277
826	0.2339888955
827	0.2334267899
828	0.2332024203
829	0.2328396223
830	0.2325589463
831	0.2320900714
832	0.2317203918
833	0.2314864367
834	0.2309838631
835	0.2304593808
836	0.2302751612
837	0.2298528462
838	0.2295420853
839	0.229311511
840	0.228864433
841	0.2283534018
842	0.2280013823
843	0.2277011614
844	0.2272123314
845	0.2266725082
846	0.226442975
847	0.226126152
848	0.2260024879
849	0.2257491146
850	0.2254228203
851	0.2251771632
852	0.2246910478
853	0.2245306077
854	0.2242107783
855	0.223707324
856	0.2234817704
857	0.2233806829
858	0.2230156385
859	0.2226978662
860	0.2222592963
861	0.2221249368
862	0.2216995773
863	0.2215243495
864	0.2210072752
865	0.220806623
866	0.2204741404
867	0.2201108802
868	0.2197716187
869	0.2192738342
870	0.2190918686
871	0.2188108261
872	0.2185175158
873	0.2183663709
874	0.2179162989
875	0.2176207435
876	0.2174595245
877	0.2171305162
878	0.216917141
879	0.2167082995
880	0.2164390267
881	0.2163152853
882	0.216036937
883	0.2157878698
884	0.2154516417
885	0.2151974874
886	0.2148191428
887	0.214470601
888	0.2140056758
889	0.2138251485
890	0.2135161021
891	0.213352164
892	0.2130147845
893	0.2125653514
894	0.2121118157
895	0.2117683577
896	0.2115056715
897	0.2108823091
898	0.210444285
899	0.210200339
900	0.209788319
901	0.2094608679
902	0.2093649489
903	0.2090235625
904	0.2088353053
905	0.2085770291
906	0.2084253413
907	0.2081156379
908	0.2078959676
909	0.2074893461
910	0.2071586781
911	0.2070151475
912	0.2066410373
913	0.2063710728
914	0.2059037604
915	0.2056079152
916	0.2054538936
917	0.2051659181
918	0.2050953836
919	0.2045771407
920	0.2044228843
921	0.2040548351
922	0.2039496079
923	0.2036967232
924	0.2033356456
925	0.2031689119
926	0.2029884994
927	0.2028174961
928	0.2024560813
929	0.2022021254
930	0.2020904124
931	0.2017573096
932	0.2014646141
933	0.2012751975
934	0.2010343851
935	0.2007642749
936	0.2006131517
937	0.2002390079
938	0.2001699916
939	0.1997212587
940	0.1995166062
941	0.1991147571
942	0.1988529526
943	0.1987147981
944	0.1983828399
945	0.1979716286
946	0.197765253
947	0.1974734243
948	0.197208178
949	0.1967658561
950	0.1965142335
951	0.196160237
952	0.1959665535
953	0.1956519904
954	0.1953369897
955	0.1948171156
956	0.1946224088
957	0.1943199851
958	0.1941728812
959	0.1939080275
960	0.1937304838
961	0.1935388409
962	0.1928903303
963	0.1926863497
964	0.1925421748
965	0.1922052552
966	0.191805509
967	0.1914755874
968	0.1913000943
969	0.1910611256
970	0.1907098994
971	0.1904793324
972	0.1900597412
973	0.1900054312
974	0.1898923365
975	0.1897783376
976	0.1893882213
977	0.1891886034
978	0.1889023388
979	0.1888621719
980	0.1886185885
981	0.1882085549
982	0.1878586062
983	0.1877220819
984	0.1873767029
985	0.1869426419
986	0.1868136247
987	0.1865853306
988	0.1864584608
989	0.1863932387
990	0.1862708341
991	0.1858062563
992	0.1854553202
993	0.1852250248
994	0.1850651227
995	0.1848207296
996	0.184660775
997	0.1845623911
998	0.1843136323
999	0.184045484
